num_partida, ganado, tirada_ganadora, escalon_final
0, NO, , 4
1, NO, , 0
2, NO, , 1
3, NO, , 4
4, SI, 5, 6
5, SI, 9, 5
6, SI, 5, 5
7, SI, 7, 6
8, SI, 5, 8
9, NO, , 3
10, SI, 7, 7
11, NO, , 4
12, SI, 9, 5
13, SI, 8, 6
14, SI, 9, 5
15, SI, 7, 5
16, SI, 5, 7
17, NO, , 4
18, SI, 6, 6
19, SI, 8, 6
20, NO, , 2
21, NO, , 3
22, NO, , 3
23, SI, 8, 5
24, NO, , 4
25, SI, 8, 5
26, NO, , 4
27, NO, , 4
28, SI, 7, 7
29, SI, 5, 5
30, SI, 5, 6
31, SI, 8, 6
32, SI, 8, 6
33, SI, 8, 5
34, SI, 5, 7
35, SI, 8, 5
36, SI, 4, 6
37, SI, 7, 6
38, NO, , 4
39, SI, 5, 6
40, SI, 5, 8
41, NO, , 4
42, NO, , 4
43, SI, 7, 5
44, SI, 6, 7
45, SI, 8, 5
46, SI, 8, 5
47, SI, 5, 7
48, NO, , 4
49, SI, 6, 7
50, SI, 8, 6
51, SI, 8, 5
52, SI, 6, 6
53, SI, 8, 5
54, SI, 6, 5
55, NO, , 3
56, NO, , 4
57, SI, 6, 6
58, NO, , 3
59, SI, 8, 5
60, SI, 9, 5
61, NO, , 4
62, SI, 9, 5
63, SI, 7, 6
64, NO, , 2
65, SI, 7, 7
66, NO, , 3
67, SI, 7, 7
68, SI, 6, 5
69, SI, 8, 6
70, NO, , 4
71, NO, , 4
72, NO, , 1
73, SI, 5, 7
74, SI, 6, 6
75, NO, , 4
76, SI, 7, 5
77, SI, 6, 6
78, SI, 8, 6
79, SI, 9, 5
80, NO, , 4
81, SI, 5, 7
82, NO, , 4
83, NO, , 4
84, SI, 4, 8
85, SI, 9, 5
86, NO, , 3
87, SI, 5, 7
88, NO, , 4
89, NO, , 4
90, NO, , 4
91, NO, , 1
92, SI, 6, 6
93, NO, , 4
94, SI, 9, 5
95, SI, 5, 7
96, NO, , 4
97, SI, 5, 5
98, SI, 8, 5
99, NO, , 3
